Business Process Description,GRC Business Process ID,Sub Process Description,GRC Sub Process ID,Business Role,Intended Use,Long Description,Character count,BR Key Word Search
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_FA ACCOUNTANT,"Handle fixed asset accounts including create, change, post journal entries, execute month end jobs and run GL analysis reports","Plan and Manage Business-Corporate Accounting-CLX_FA ACCOUNTANT-Handle fixed asset accounts including create, change, post journal entries, execute month end jobs and run GL analysis reports",190,FA ACCOUNTANT
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_FA MANAGER,"Manage and monitor fixed asset accounting including create, change, post journal entire, manage master data, IO, and execute FA close jobs","Plan and Manage Business-Corporate Accounting-CLX_FA MANAGER-Manage and monitor fixed asset accounting including create, change, post journal entire, manage master data, IO, and execute FA close jobs",199,FA MANAGER
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_MARKETING ACCOUNTANT,"Handle Marketing GL accounts including create, change, post journal entries, manage IO and execute month end jobs","Plan and Manage Business-Corporate Accounting-CLX_MARKETING ACCOUNTANT-Handle Marketing GL accounts including create, change, post journal entries, manage IO and execute month end jobs",184,MARKETING ACCOUNTANT
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_MARKETING ACCOUNTING MANAGER,"Manage market accounting including maintain master data, analyze GL data and produce analysis reports","Plan and Manage Business-Corporate Accounting-CLX_MARKETING ACCOUNTING MANAGER-Manage market accounting including maintain master data, analyze GL data and produce analysis reports",180,MARKETING ACCOUNTING MANAGER
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_SALES ACCOUNTANT,"Handle sales and rebate accounting GL accounts including create, change, post journal entries, change IO and display SAP reports","Plan and Manage Business-Corporate Accounting-CLX_SALES ACCOUNTANT-Handle sales and rebate accounting GL accounts including create, change, post journal entries, change IO and display SAP reports",195,SALES ACCOUNTANT
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_USOPS ACCOUNTANT,"Handle USOPs GL accounts including create, change, post journal entries, and run SAP analysis reports","Plan and Manage Business-Corporate Accounting-CLX_USOPS ACCOUNTANT-Handle USOPs GL accounts including create, change, post journal entries, and run SAP analysis reports",168,USOPS ACCOUNTANT
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_USOPS ACCOUNTING MANAGER,Manage USOPs accounting including analyze GL data and display SAP reports,Plan and Manage Business-Corporate Accounting-CLX_USOPS ACCOUNTING MANAGER-Manage USOPs accounting including analyze GL data and display SAP reports,148,USOPS ACCOUNTING MANAGER
Ensure Supply,MM00,Corporate Engineering,CPEG,CLX_EHS SPECIALIST,"PSO:Ensure Supply: EHS Clorox specialist that accesses SAP to view common display items and reports in areas of GSS, Planning, Production, Finance, Internal Orders, MD Maintenance, Goods Receipts and hazardous material identification.","Ensure Supply-Corporate Engineering-CLX_EHS SPECIALIST-PSO:Ensure Supply: EHS Clorox specialist that accesses SAP to view common display items and reports in areas of GSS, Planning, Production, Finance, Internal Orders, MD Maintenance, Goods Receipts and hazardous material identification.",289,EHS SPECIALIST
Ensure Supply,MM00,Corporate Engineering,CPEG,CLX_PROJECT ENGINEER,Pending,Ensure Supply-Corporate Engineering-CLX_PROJECT ENGINEER-Pending,64,PROJECT ENGINEER
Plan and Manage Business,FI00,Cost,Cost,CLX_CATEGORY COST ANALYST,"Manage inventory/COGS GL activity including create and post journal entries, maintain product costing and cost centers, and display SAP reports","Plan and Manage Business-Cost-CLX_CATEGORY COST ANALYST-Manage inventory/COGS GL activity including create and post journal entries, maintain product costing and cost centers, and display SAP reports",199,CATEGORY COST ANALYST
Plan and Manage Business,FI00,Cost,Cost,CLX_CATEGORY COST MANAGER,"Manage inventory/COGS GL activity including maintain product costing and cost centers, and display SAP reports","Plan and Manage Business-Cost-CLX_CATEGORY COST MANAGER-Manage inventory/COGS GL activity including maintain product costing and cost centers, and display SAP reports",166,CATEGORY COST MANAGER
Plan and Manage Business,FI00,Cost,Cost,CLX_ESSBASE DATABASE ADMIN,"Maintain Essbase database, cost centers, and display SAP reports","Plan and Manage Business-Cost-CLX_ESSBASE DATABASE ADMIN-Maintain Essbase database, cost centers, and display SAP reports",121,ESSBASE DATABASE ADMIN
Plan and Manage Business,FI00,Cost,Cost,CLX_INTERNAL CONTROL MANAGER,"Maintain master data for inventory count, create production order/confirmation and display Finance/ES SAP Reports","Plan and Manage Business-Cost-CLX_INTERNAL CONTROL MANAGER-Maintain master data for inventory count, create production order/confirmation and display Finance/ES SAP Reports",172,INTERNAL CONTROL MANAGER
Plan and Manage Business,FI00,Cost,Cost,CLX_INTERNAL INVENTORY MANAGEMENT,Maintain master data for product costing and cost centers.  Create production order/confirmation and display Finance/ES SAP Reports,Plan and Manage Business-Cost-CLX_INTERNAL INVENTORY MANAGEMENT-Maintain master data for product costing and cost centers.  Create production order/confirmation and display Finance/ES SAP Reports,195,INTERNAL INVENTORY MANAGEMENT
Plan and Manage Business,FI00,Cost,Cost,CLX_LCOE ANALYST,"Create and post journal entries, request to create/close cost centers, and display SAP reports","Plan and Manage Business-Cost-CLX_LCOE ANALYST-Create and post journal entries, request to create/close cost centers, and display SAP reports",141,LCOE ANALYST
Plan and Manage Business,FI00,Cost,Cost,CLX_LCOE MANAGER,"Create and post journal entries, requestto create/close cost centers, upload logistic forecast and display SAP reports","Plan and Manage Business-Cost-CLX_LCOE MANAGER-Create and post journal entries, requestto create/close cost centers, upload logistic forecast and display SAP reports",165,LCOE MANAGER
Plan and Manage Business,FI00,Cost,Cost,CLX_MCOE ANALYST,"Create and post journal entries, create/close internal orders, and display SAP reports","Plan and Manage Business-Cost-CLX_MCOE ANALYST-Create and post journal entries, create/close internal orders, and display SAP reports",133,MCOE ANALYST
Plan and Manage Business,FI00,Cost,Cost,CLX_MCOE MANAGER,"Create and post journal entries, create/close internal orders, and display SAP reports","Plan and Manage Business-Cost-CLX_MCOE MANAGER-Create and post journal entries, create/close internal orders, and display SAP reports",133,MCOE MANAGER
Plan and Manage Business,FI00,Cost,Cost,CLX_PCOE ANALYST,"Manage product costing GL activity including create and post journal entries, maintain product costing and cost centers, and display SAP reports","Plan and Manage Business-Cost-CLX_PCOE ANALYST-Manage product costing GL activity including create and post journal entries, maintain product costing and cost centers, and display SAP reports",191,PCOE ANALYST
Plan and Manage Business,FI00,Cost,Cost,CLX_PCOE MANAGER,"Manage product costing GL activity including create and post journal entries, maintain product costing and cost centers, and display SAP reports","Plan and Manage Business-Cost-CLX_PCOE MANAGER-Manage product costing GL activity including create and post journal entries, maintain product costing and cost centers, and display SAP reports",191,PCOE MANAGER
Plan and Manage Business,FI00,Credit,CRED,CLX_CREDIT ANALYST,"Maintain master data of credit and customers, process invoices and billing in SAP, post journal entriess and display SAP reports","Plan and Manage Business-Credit-CLX_CREDIT ANALYST-Maintain master data of credit and customers, process invoices and billing in SAP, post journal entriess and display SAP reports",179,CREDIT ANALYST
Order to Cash,SD00,External Contractors,NCLX,CLX_CROSSMARK BROKER,Pending,Order to Cash-External Contractors-CLX_CROSSMARK BROKER-Pending,63,CROSSMARK BROKER
Plan and Manage Business,FI00,FP&A,FP&A,CLX_CFP ANALYST,"Post PA/PCA entry, display various SAP reports","Plan and Manage Business-FP&A-CLX_CFP ANALYST-Post PA/PCA entry, display various SAP reports",92,CFP ANALYST
Plan and Manage Business,FI00,FP&A,FP&A,CLX_CFP MANAGER,Display various finance SAP reports,Plan and Manage Business-FP&A-CLX_CFP MANAGER-Display various finance SAP reports,81,CFP MANAGER
Plan and Manage Business,FI00,FP&A,FP&A,CLX_FORECAST ANALYST,"Manage Demand Creation GL accounts including create/post journal entries, manage internal orders and display SAP reports","Plan and Manage Business-FP&A-CLX_FORECAST ANALYST-Manage Demand Creation GL accounts including create/post journal entries, manage internal orders and display SAP reports",171,FORECAST ANALYST
Plan and Manage Business,FI00,FP&A,FP&A,CLX_FORECAST MANAGER, Display various SAP reports and ran finance planning and forecast analysis reports,Plan and Manage Business-FP&A-CLX_FORECAST MANAGER- Display various SAP reports and ran finance planning and forecast analysis reports,134,FORECAST MANAGER
Plan and Manage Business,FI00,FP&A,FP&A,CLX_FUNCTIONAL PLANNING ANALYST,"Manage Admin GL accounts including posting journal entries, internal orders and cost centers, and display SAP reports","Plan and Manage Business-FP&A-CLX_FUNCTIONAL PLANNING ANALYST-Manage Admin GL accounts including posting journal entries, internal orders and cost centers, and display SAP reports",179,FUNCTIONAL PLANNING ANALYST
Plan and Manage Business,FI00,FP&A,FP&A,CLX_FUNCTIONAL PLANNING MANAGER,"Manage internal orders and cost centers, and display SAP reports","Plan and Manage Business-FP&A-CLX_FUNCTIONAL PLANNING MANAGER-Manage internal orders and cost centers, and display SAP reports",126,FUNCTIONAL PLANNING MANAGER
Plan and Manage Business,FI00,FP&A,FP&A,CLX_P&A ANALYST,Display various finance SAP reports for domestic finance planning and analysis,Plan and Manage Business-FP&A-CLX_P&A ANALYST-Display various finance SAP reports for domestic finance planning and analysis,124,P&A ANALYST
Ensure Supply,MM00,GEMS,GEMS,CLX_GEMS (NONCLX),PSO: Ensure Supply: ME: Global External Mfg. supplier that uses SAP access to our system to execute transactions,Ensure Supply-GEMS-CLX_GEMS (NONCLX)-PSO: Ensure Supply: ME: Global External Mfg. supplier that uses SAP access to our system to execute transactions,149,GEMS (NONCLX)
Ensure Supply,MM00,GEMS,GEMS,CLX_GEMS Manager,"PSO:Ensure Supply: ME: Global External Mfg. Clorox Manager that uses SAP access to our system to execute transactions, review inventory, reports, purchase orders, production planning visibility, material availability, shipping status, invoicing, and BOM's","Ensure Supply-GEMS-CLX_GEMS Manager-PSO:Ensure Supply: ME: Global External Mfg. Clorox Manager that uses SAP access to our system to execute transactions, review inventory, reports, purchase orders, production planning visibility, material availability, shipping status, invoicing, and BOM's",291,GEMS MANAGER
Ensure Supply,MM00,GEMS,GEMS,CLX_GEMS SUPPORT,"PSO: Ensure Supply: ME: Global External Mfg. Clorox Analytical support that uses SAP access to our system to execute transactions, review inventory, reports, purchase orders, production planning visibility, material availability, shipping status, invoicing, and BOM's","Ensure Supply-GEMS-CLX_GEMS SUPPORT-PSO: Ensure Supply: ME: Global External Mfg. Clorox Analytical support that uses SAP access to our system to execute transactions, review inventory, reports, purchase orders, production planning visibility, material availability, shipping status, invoicing, and BOM's",303,GEMS SUPPORT
Ensure Supply,MM00,GSS Sourcing,GSS),CLX_GSS COE MGR,"PSO: GSS: COE Manager with common display view to transactions associate with AP, AR, GL, Material masters, EHS, PM, Purchasing, WM, Sales, Contract maintenance, tables and reports","Ensure Supply-GSS Sourcing-CLX_GSS COE MGR-PSO: GSS: COE Manager with common display view to transactions associate with AP, AR, GL, Material masters, EHS, PM, Purchasing, WM, Sales, Contract maintenance, tables and reports",223,GSS COE MGR
Ensure Supply,MM00,GSS Sourcing,GSS),CLX_GSS MRO-CAPITAL,"PSO: GSS: Corp. MRO parts and Capital sourcing with view and edit to common display transactions related to AP, Inventory, materials, PM, Procurement, Contract maintenance and PO maintenance.","Ensure Supply-GSS Sourcing-CLX_GSS MRO-CAPITAL-PSO: GSS: Corp. MRO parts and Capital sourcing with view and edit to common display transactions related to AP, Inventory, materials, PM, Procurement, Contract maintenance and PO maintenance.",238,GSS MRO-CAPITAL
Ensure Supply,MM00,GSS Sourcing,GSS),CLX_GSS SOURCING,"PSO: GSS: Corp. Sourcing Manager with common display view for transactions in AP, Finance, GL, EHS, Inventory, materials, PM, Procurement, Purchasing, Contract maintenance and reports.","Ensure Supply-GSS Sourcing-CLX_GSS SOURCING-PSO: GSS: Corp. Sourcing Manager with common display view for transactions in AP, Finance, GL, EHS, Inventory, materials, PM, Procurement, Purchasing, Contract maintenance and reports.",228,GSS SOURCING
HR and Payroll,HR00,HR and Payroll,HR00,CLX_HR PAYROLL ANALYST,Pending,HR and Payroll-HR and Payroll-CLX_HR PAYROLL ANALYST-Pending,60,HR PAYROLL ANALYST
HR and Payroll,HR00,HR and Payroll,HR00,CLX_HR PAYROLL MANAGER,Pending,HR and Payroll-HR and Payroll-CLX_HR PAYROLL MANAGER-Pending,60,HR PAYROLL MANAGER
HR and Payroll,HR00,HR and Payroll,HR00,CLX_HR SAP BASIC,Pending,HR and Payroll-HR and Payroll-CLX_HR SAP BASIC-Pending,54,HR SAP BASIC
Plan and Manage Business,FI00,International Accounting,INAC,CLX_INTERNATIONAL ACCOUNTANT,Manage international GL accounts including create/post journal entries and display SAP reports,Plan and Manage Business-International Accounting-CLX_INTERNATIONAL ACCOUNTANT-Manage international GL accounts including create/post journal entries and display SAP reports,173,INTERNATIONAL ACCOUNTANT
Plan and Manage Business,FI00,International Accounting,INAC,CLX_INTERNATIONAL ACCOUNTING MANAGER,Display various finance SAP reports for international GL analysis,Plan and Manage Business-International Accounting-CLX_INTERNATIONAL ACCOUNTING MANAGER-Display various finance SAP reports for international GL analysis,152,INTERNATIONAL ACCOUNTING MANAGER
Plan and Manage Business,FI00,International Finance,INFI,CLX_INTERNATIONAL FINANCE MANAGER,Display various finance SAP reports for international finance and forecast analysis,Plan and Manage Business-International Finance-CLX_INTERNATIONAL FINANCE MANAGER-Display various finance SAP reports for international finance and forecast analysis,164,INTERNATIONAL FINANCE MANAGER
Plan and Manage Business,FI00,International Procurement,INPR,CLX_INTERNATIONAL PROCUREMENT MANAGER,"Create and release international PO/PR, process international sales invoices, maintain material/shipment master data,  and run SAP display reports","Plan and Manage Business-International Procurement-CLX_INTERNATIONAL PROCUREMENT MANAGER-Create and release international PO/PR, process international sales invoices, maintain material/shipment master data,  and run SAP display reports",235,INTERNATIONAL PROCUREMENT MANAGER
Plan and Manage Business,FI00,International Procurement,INPR,CLX_INTERNATIONAL PROCUREMENT SPECIALIST,"Create and release international PO/PR, process international sales invoices, maintain material/shipment master data,  and run SAP display reports","Plan and Manage Business-International Procurement-CLX_INTERNATIONAL PROCUREMENT SPECIALIST-Create and release international PO/PR, process international sales invoices, maintain material/shipment master data,  and run SAP display reports",238,INTERNATIONAL PROCUREMENT SPECIALIST
Manage Information Technology,BS00,IT and Basis,BASI,CLX_APO SUPPORT,Pending,Manage Information Technology-BASI-CLX_APO SUPPORT-Pending,58,APO SUPPORT
Plan & Manage Business,FI00,LARCC,LARC,CLX_FI BASIC DISPLAYER,Pending,Plan & Manage Business-LARCC-CLX_FI BASIC DISPLAYER-Pending,59,FI BASIC DISPLAYER
Plan & Manage Business,FI00,LARCC,LARC,CLX_RISK_MANAGEMENT_DISPLAY,Pending,Plan & Manage Business-LARCC-CLX_RISK_MANAGEMENT_DISPLAY-Pending,64,RISK
Plan & Manage Business,FI00,LARCC,LARC,CLX_RISK_MANAGEMENT_POSTING,Pending,Plan & Manage Business-LARCC-CLX_RISK_MANAGEMENT_POSTING-Pending,64,RISK
Order to Cash,SD00,Logistics,LARC,CLX_O2C LOGISTICS CONTROLLER,PSO: Ensure Supply: O2C- Corp. Logistics Controller with view and edit to common display transaction.,Order to Cash-Logistics-CLX_O2C LOGISTICS CONTROLLER-PSO: Ensure Supply: O2C- Corp. Logistics Controller with view and edit to common display transaction.,154,O2C LOGISTICS CONTROLLER
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT ACCOUNTANT CONTROLLER,"PSO: Ensure Supply: Plant Finance and Accounting CLX role to view and transact in SAP in areas of inventory postings and adjustments, material cycle counting, month end closing reporting, purchasing reconciliation, production planning and confirmation reports","Ensure Supply-Manufacturing-CLX_PLANT ACCOUNTANT CONTROLLER-PSO: Ensure Supply: Plant Finance and Accounting CLX role to view and transact in SAP in areas of inventory postings and adjustments, material cycle counting, month end closing reporting, purchasing reconciliation, production planning and confirmation reports",319,PLANT ACCOUNTANT CONTROLLER
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT ENGINEER,"PSO: Ensure Supply: Local Plant Engineer CLX who has common display and reporting visibility for PM notifications, execution, MRO PO release and approval, assets and AP reports","Ensure Supply-Manufacturing-CLX_PLANT ENGINEER-PSO: Ensure Supply: Local Plant Engineer CLX who has common display and reporting visibility for PM notifications, execution, MRO PO release and approval, assets and AP reports",223,PLANT ENGINEER
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT INVENTORY MANAGEMENT,"PSO:Ensure Supply: Local Plant CLX coordinators of R/Pk/WIP inventory posting of cycle counts and adjustments, goods movements, transfer postings.  Usually someone in Plt. Acct. group.","Ensure Supply-Manufacturing-CLX_PLANT INVENTORY MANAGEMENT-PSO:Ensure Supply: Local Plant CLX coordinators of R/Pk/WIP inventory posting of cycle counts and adjustments, goods movements, transfer postings.  Usually someone in Plt. Acct. group.",243,PLANT INVENTORY MANAGEMENT
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT LOCAL MASTER DATA MAINTAINER,"PSO: Ensure Supply: CLX local master data maintainer who has access to local master data visibility, set up, BOM maintenance, Inventory control, routing and production version control","Ensure Supply-Manufacturing-CLX_PLANT LOCAL MASTER DATA MAINTAINER-PSO: Ensure Supply: CLX local master data maintainer who has access to local master data visibility, set up, BOM maintenance, Inventory control, routing and production version control",250,PLANT LOCAL MASTER DATA MAINTAINER
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT MAINTENANCE EXECUTION,"PSO:Ensure Supply: Local Plant CLX Maintenance Personnel who need access to SAP for PM notifications, work order maintenance, Order confirmations, Purchase requisitions.  Common display access to view materials, production orders and reports","Ensure Supply-Manufacturing-CLX_PLANT MAINTENANCE EXECUTION-PSO:Ensure Supply: Local Plant CLX Maintenance Personnel who need access to SAP for PM notifications, work order maintenance, Order confirmations, Purchase requisitions.  Common display access to view materials, production orders and reports",301,PLANT MAINTENANCE EXECUTION
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT MAINTENANCE MANAGEMENT,"PSO: Ensure Supply: Local Plant Maintenance Team Leader and Managers who access SAP to view common display transactions and reports in materials, procurement, PM creations, maintenance, PO release, AP ","Ensure Supply-Manufacturing-CLX_PLANT MAINTENANCE MANAGEMENT-PSO: Ensure Supply: Local Plant Maintenance Team Leader and Managers who access SAP to view common display transactions and reports in materials, procurement, PM creations, maintenance, PO release, AP ",262,PLANT MAINTENANCE MANAGEMENT
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT MAINTENANCE MD MAINTAINER,"PSO: Ensure Supply: Local CLX Plant Maintenance MD maintainers for MRO, PM, Maintenance Capacity planning, Work order creation and confirmation.","Ensure Supply-Manufacturing-CLX_PLANT MAINTENANCE MD MAINTAINER-PSO: Ensure Supply: Local CLX Plant Maintenance MD maintainers for MRO, PM, Maintenance Capacity planning, Work order creation and confirmation.",208,PLANT MAINTENANCE MD MAINTAINER
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT MAINTENANCE PLANNING,"PSO: Ensure Supply: Local CLX Plant Maintenance Planner responsible for scheduling PM's, Creating work orders, view  Inventory of MRO parts, ability to perform Goods Receipt, Display common transactions and reports in SAP. ","Ensure Supply-Manufacturing-CLX_PLANT MAINTENANCE PLANNING-PSO: Ensure Supply: Local CLX Plant Maintenance Planner responsible for scheduling PM's, Creating work orders, view  Inventory of MRO parts, ability to perform Goods Receipt, Display common transactions and reports in SAP. ",282,PLANT MAINTENANCE PLANNING
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT MATERIAL COORDINATOR,"PSO: Ensure Supply CLX Local Plant Material Coordinator  reviews common display items in SAP, responsible for coordinating inventory counts, batch record maintenance, Goods Issue, Receipts and Movements, Emptyware management, Quality Notifications, and general view of various reports in SAP","Ensure Supply-Manufacturing-CLX_PLANT MATERIAL COORDINATOR-PSO: Ensure Supply CLX Local Plant Material Coordinator  reviews common display items in SAP, responsible for coordinating inventory counts, batch record maintenance, Goods Issue, Receipts and Movements, Emptyware management, Quality Notifications, and general view of various reports in SAP",350,PLANT MATERIAL COORDINATOR
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT OPERATIONS MANAGER,"PSO: Ensure Supply: Local CLX Plant Operations Manager views common display and reports in SAP, View quality notifications and various other display transactions.","Ensure Supply-Manufacturing-CLX_PLANT OPERATIONS MANAGER-PSO: Ensure Supply: Local CLX Plant Operations Manager views common display and reports in SAP, View quality notifications and various other display transactions.",219,PLANT OPERATIONS MANAGER
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT PARTS MANAGEMENT,"PSO: Ensure Supply: MRO Parts Coordinator has access to various common display transactions and reports, view PM notifications and orders, Purchase order maintenance for MRO, Quality notification maintenance and PO maintenance.","Ensure Supply-Manufacturing-CLX_PLANT PARTS MANAGEMENT-PSO: Ensure Supply: MRO Parts Coordinator has access to various common display transactions and reports, view PM notifications and orders, Purchase order maintenance for MRO, Quality notification maintenance and PO maintenance.",282,PLANT PARTS MANAGEMENT
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT PROCESS OPERATOR,"PSO: Ensure Supply: Local CLX Plant Process Operators can view various common display transactions, PM Notifcations and order maintenance, view and confirm production orders in SAP","Ensure Supply-Manufacturing-CLX_PLANT PROCESS OPERATOR-PSO: Ensure Supply: Local CLX Plant Process Operators can view various common display transactions, PM Notifcations and order maintenance, view and confirm production orders in SAP",235,PLANT PROCESS OPERATOR
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT PRODUCTION EXECUTION,"PSO: Ensure Supply: Local CLX production operators can view common transactions and reports in SAP, Can confirm production orders, view batch records, create notifications for PM, report goods movements, PO requisition, Quality notifcations in SAP.","Ensure Supply-Manufacturing-CLX_PLANT PRODUCTION EXECUTION-PSO: Ensure Supply: Local CLX production operators can view common transactions and reports in SAP, Can confirm production orders, view batch records, create notifications for PM, report goods movements, PO requisition, Quality notifcations in SAP.",307,PLANT PRODUCTION EXECUTION
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,"PSO: Ensure Supply: Local CLX Plant Production and Process Team Lead has access to view common display transactions, Create PM notifications and work orders, confirms production, view batch records, quality notifications, purchase requisitions and make goods movements.","Ensure Supply-Manufacturing-CLX_PLANT PRODUCTION EXECUTION TEAM LEAD-PSO: Ensure Supply: Local CLX Plant Production and Process Team Lead has access to view common display transactions, Create PM notifications and work orders, confirms production, view batch records, quality notifications, purchase requisitions and make goods movements.",338,PLANT PRODUCTION EXECUTION TEAM LEAD
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT PRODUCTION SCHEDULER,"PSO: Ensure Supply: Local CLX Plant Production Scheduler with access to view common display transactions for materials, inventory, procurement.  Also ability to execute transactions for Production Order Maintenance, capacity planning, goods receipts, and plant level master data. ","Ensure Supply-Manufacturing-CLX_PLANT PRODUCTION SCHEDULER-PSO: Ensure Supply: Local CLX Plant Production Scheduler with access to view common display transactions for materials, inventory, procurement.  Also ability to execute transactions for Production Order Maintenance, capacity planning, goods receipts, and plant level master data. ",339,PLANT PRODUCTION SCHEDULER
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT QUALITY MANAGEMENT,"PSO: Ensure Supply: Local CLX Plant Quality Management with common display access to view materials, production orders, purchase orders.  Ability to create and manage quality notifications and goods movements.","Ensure Supply-Manufacturing-CLX_PLANT QUALITY MANAGEMENT-PSO: Ensure Supply: Local CLX Plant Quality Management with common display access to view materials, production orders, purchase orders.  Ability to create and manage quality notifications and goods movements.",266,PLANT QUALITY MANAGEMENT
Ensure Supply,MM00,Manufacturing,MANU,CLX_PLANT SITE MANAGER,PSO: Ensure Supply: Local CLX Plant Site Manager with ability to view common display transactions and reports,Ensure Supply-Manufacturing-CLX_PLANT SITE MANAGER-PSO: Ensure Supply: Local CLX Plant Site Manager with ability to view common display transactions and reports,160,PLANT SITE MANAGER
Plan & Manage Business,FI00,Marketing,MARK,CLX_MARKETING DISPLAY,Have access to display SAP reports for marketing team,Plan & Manage Business-Marketing-CLX_MARKETING DISPLAY-Have access to display SAP reports for marketing team,108,MARKETING DISPLAY
Manage Information Technology,BS00,Master Data,MD00,CLX_EDM GLOBAL TEAM,Pending,Manage Information Technology-Master Data-CLX_EDM GLOBAL TEAM-Pending,69,EDM GLOBAL TEAM
Manage Information Technology,BS00,Master Data,MD00,CLX_EDM MDM CONTRACTORS,Pending,Manage Information Technology-Master Data-CLX_EDM MDM CONTRACTORS-Pending,73,EDM MDM CONTRACTORS
